garden-id,user-id,name,location
1,22,Sviblovo,Russia
2,63,Makueni,Kenya
3,8,Lizhuangzi,China
4,33,Silute,Lithuania
5,42,Queimados,Brazil
6,11,Puerto Rico,Argentina
7,97,Akune,Japan
8,65,Dabachang,China
9,12,Jixiang,China
10,4,Klatakan,Indonesia
11,32,Ganja,Azerbaijan
12,27,Dún Laoghaire,Ireland
13,3,Wangcao,China
14,4,El Progreso,Panama
15,80,Sevilla,Colombia
16,66,‘Ayn Ḩalāqīm,Syria
17,44,Ruo,Micronesia
18,87,Hutou,China
19,74,Saint-Étienne-du-Rouvray,France
20,12,Tangchi,China
21,75,Esik,Kazakhstan
22,19,Mafeng,China
23,88,Banyulegi,Indonesia
24,49,El Paso,United States
25,88,Sanxixiang,China
26,24,Łaziska Górne,Poland
27,91,Zhenkou,China
28,1,Sukamanah,Indonesia
29,97,Kutao,China
30,44,Pulopaya,Indonesia
31,5,Khirdalan,Azerbaijan
32,75,Shaochang,China
33,44,Buqei‘a,Israel
34,68,Qarāwul,Afghanistan
35,91,Padhahegha,Indonesia
36,10,Dongxiao,China
37,100,Dois Córregos,Brazil
38,12,Quinta da Queimada,Portugal
39,95,Koungou,Mayotte
40,44,Babica,Poland
41,64,Horní Počaply,Czech Republic
42,26,Wangliao,China
43,66,‘Ābūd,Palestinian Territory
44,47,Boaco,Nicaragua
45,67,Kolchikón,Greece
46,9,Longsheng,China
47,34,Ngrowo,Indonesia
48,28,Hegarmulya,Indonesia
49,52,Ndwedwe,South Africa
50,28,Umm Sa‘īd,Qatar
51,22,Stradbally,Ireland
52,63,Woodstock,Canada
53,35,Sucre,Colombia
54,44,Rasony,Belarus
55,57,Tshaneni,Swaziland
56,2,Fengyuan,Taiwan
57,82,Banquero,Philippines
58,1,Cojata,Peru
59,1,Villanueva,Philippines
60,3,Sadabe,Madagascar
61,53,Sherpur,Bangladesh
62,8,Guidong Chengguanzhen,China
63,80,Borabue,Thailand
64,30,San Salvador,El Salvador
65,4,Krojo,Indonesia
66,84,Mahdia,Guyana
67,4,Amu Gulang Baolige,China
68,80,Uspenskoye,Russia
69,90,Dasongshu,China
70,66,Quibdó,Colombia
71,15,Yangdenghu,China
72,81,Huayuanli,China
73,46,Dongjia,China
74,51,Hongwŏn,North Korea
75,70,Oesain,Indonesia
76,36,Waiwejak,Indonesia
77,57,Ketang,China
78,79,Jedlina-Zdrój,Poland
79,98,Santa Ana Huista,Guatemala
80,46,Thị Trấn Triệu Sơn,Vietnam
81,32,Tieremu,China
82,61,Mingzhong,China
83,6,Wahang Dua,Indonesia
84,92,Göteborg,Sweden
85,51,Dugulubgey,Russia
86,39,Cape Coast,Ghana
87,30,Yangxi,China
88,91,Puspajaya,Indonesia
89,37,Aoyang,China
90,86,Neftçala,Azerbaijan
91,31,Boston,United States
92,21,Tulungrejo,Indonesia
93,58,Sankera,Nigeria
94,67,Zizhao,China
95,40,Longmen,China
96,70,Al Mawşil al Jadīdah,Iraq
97,21,Sleman,Indonesia
98,62,Camgyai,China
99,73,Puncakwangi,Indonesia
100,84,Ono,Japan
