reminder-id,plant-id,reminder-type,due-date,status
1,3,prunning,2/18/2026,pending
2,5,watering,7/5/2025,pending
3,100,fertilizing,10/8/2025,pending
4,11,prunning,1/17/2026,complete
5,65,watering,3/18/2026,complete
6,48,watering,6/25/2025,complete
7,9,prunning,10/2/2025,complete
8,49,watering,3/31/2026,pending
9,25,fertilizing,12/4/2025,pending
10,58,fertilizing,12/31/2025,pending
11,41,watering,7/9/2025,complete
12,26,fertilizing,8/18/2025,pending
13,63,watering,1/21/2026,complete
14,39,fertilizing,3/2/2026,complete
15,48,fertilizing,4/2/2026,pending
16,98,watering,4/9/2026,pending
17,63,watering,12/2/2025,complete
18,70,watering,6/17/2025,complete
19,41,fertilizing,7/3/2025,complete
20,98,prunning,4/7/2026,pending
21,86,fertilizing,4/23/2026,complete
22,27,prunning,12/19/2025,complete
23,90,watering,3/9/2026,pending
24,30,watering,9/9/2025,complete
25,96,fertilizing,5/13/2025,pending
26,34,prunning,10/3/2025,pending
27,73,fertilizing,9/11/2025,complete
28,48,fertilizing,4/12/2026,pending
29,19,fertilizing,12/12/2025,pending
30,30,fertilizing,1/22/2026,pending
31,44,fertilizing,4/29/2026,pending
32,93,prunning,2/17/2026,pending
33,84,watering,9/27/2025,pending
34,59,fertilizing,9/14/2025,complete
35,53,prunning,4/28/2026,pending
36,16,fertilizing,11/19/2025,complete
37,61,prunning,3/19/2026,pending
38,14,prunning,2/2/2026,complete
39,100,fertilizing,4/28/2026,pending
40,46,watering,10/31/2025,pending
41,53,watering,6/15/2025,complete
42,17,fertilizing,4/21/2026,pending
43,76,fertilizing,2/19/2026,pending
44,99,prunning,3/4/2026,complete
45,47,fertilizing,4/20/2026,complete
46,75,watering,10/10/2025,complete
47,60,prunning,3/2/2026,complete
48,88,fertilizing,12/6/2025,pending
49,74,watering,8/17/2025,complete
50,8,fertilizing,6/4/2025,pending
51,65,fertilizing,12/20/2025,complete
52,1,fertilizing,1/13/2026,complete
53,25,watering,3/9/2026,pending
54,6,watering,11/20/2025,pending
55,100,fertilizing,10/14/2025,pending
56,28,fertilizing,6/10/2025,complete
57,30,watering,11/16/2025,pending
58,29,prunning,4/17/2026,pending
59,63,prunning,5/13/2025,complete
60,42,fertilizing,3/24/2026,complete
61,8,watering,1/4/2026,complete
62,44,watering,11/20/2025,pending
63,41,prunning,4/23/2026,complete
64,85,fertilizing,12/9/2025,pending
65,74,watering,3/27/2026,pending
66,64,prunning,10/16/2025,complete
67,8,prunning,9/30/2025,pending
68,89,watering,7/6/2025,pending
69,21,prunning,4/20/2026,complete
70,38,prunning,1/9/2026,pending
71,14,watering,6/24/2025,pending
72,47,fertilizing,4/30/2026,complete
73,42,fertilizing,8/24/2025,pending
74,27,watering,9/9/2025,complete
75,76,prunning,6/22/2025,complete
76,16,prunning,9/20/2025,pending
77,76,fertilizing,9/29/2025,pending
78,85,watering,5/13/2025,pending
79,1,fertilizing,6/29/2025,pending
80,78,prunning,4/12/2026,complete
81,25,prunning,4/14/2026,complete
82,100,fertilizing,12/14/2025,complete
83,76,prunning,1/17/2026,complete
84,21,fertilizing,5/14/2025,pending
85,92,fertilizing,12/13/2025,complete
86,93,prunning,8/25/2025,complete
87,28,watering,7/12/2025,pending
88,37,prunning,4/26/2026,pending
89,39,fertilizing,12/12/2025,pending
90,95,prunning,8/27/2025,pending
91,12,prunning,8/20/2025,pending
92,10,prunning,1/5/2026,pending
93,68,fertilizing,8/17/2025,pending
94,92,watering,5/13/2025,complete
95,95,watering,6/19/2025,complete
96,65,fertilizing,8/5/2025,pending
97,26,prunning,3/30/2026,complete
98,48,prunning,5/9/2026,complete
99,15,fertilizing,1/28/2026,complete
100,84,fertilizing,9/21/2025,pending
